유비,현덕
유비,유황숙
유비,선주
관우,운장
관우,관공
장비,익덕
공손찬,백규
곽가,봉효
노숙,자경
미축,자중
손권,중모
순욱,문약
원소,본초
원술,공로
유표,경승
장료,문원
정욱,중덕
조운,자룡
조조,맹덕
하후돈,원양
허저,중강
주유,공근
서황,서황
