위,촉,오,기타
장료,유비,노숙,방덕
정욱,관우,손권,영명
조조,장비,여몽,
하후돈,마속,육손,
허저,마초,제갈근,
서황,미축,주유,
,방통,,
,위연,,
,제갈량,,
,조운,,
,황충,,
