위,촉,오,기타
조비,장포,손권,맹획
자환,관흥,중모,
가후,안국,제갈근,
문화,제갈량,자유,
사마의,공명,감녕,
도독,승상,흥패,
중달,유비,육손,
조진,현덕,백언,
자단,선주,한당,
장합,황충,의공,
준예,한승,주태,
조예,조운,유평,
원중,자룡,,
종회,유선,,
사계,공사,,
등애,후주,,
사재,마초,,
사마소,맹기,,
,위연,,
,문장,,
,마속,,
,유상,,
,마대,,
,중화,,
,강유,,
,백약,,
