"","x"
"367","표하다"
"368","축하하다"
"369","빚다"
"370","데리다"
"371","복작거리다"
"372","얽히다"
"373","변하다"
"374","울다"
"375","올리다"
"376","힘주다"
"377","파하다"
"378","당부하다"
"379","말리다"
"380","모으다"
"381","도와주다"
"382","유력하다"
"383","밀다"
"384","전송하다"
"385","찾아보다"
"386","해어지다"
"387","뵙다"
"388","빠져들다"
"389","앞당기다"
"390","비하다"
"391","좁히다"
"392","잃다"
"393","모시다"
"394","움직이다"
"395","해지다"
"396","헤어지다"
"397","들이다"
"398","가로막히다"
"399","날래다"
"400","달리다"
"401","달려오다"
"402","끝내다"
"403","넘나다"
"404","새겨듣다"
"405","불행하다"
"406","헤치다"
"407","향하다"
"408","배웅하다"
"409","뺏기다"
"410","가로막다"
"411","둘러보다"
"412","신다"
"413","걷다"
"414","건너다"
"415","차다"
"416","젖다"
"417","불다"
"418","피우다"
"419","떨리다"
"420","녹이다"
"421","귀담다"
"422","짚다"
"423","다리다"
"424","배다"
"425","늙다"
"426","업다"
"427","건네다"
"428","부수다"
"429","없애다"
"430","거슬리다"
"431","건너오다"
"432","들어가다"
"433","건너가다"
"434","부리다"
"435","들쳐업다"
"436","후들거리다"
"437","내려놓다"
"438","내쉬다"
"439","나무라다"
"440","쳐다보다"
"441","유건하다"
"442","소리치다"
"443","다녀오다"
"444","괴롭히다"
"445","지체하다"
"446","저물다"
"447","달래다"
"448","다그치다"
"449","나르다"
"450","넘겨짚다"
"451","얻어걸리다"
"452","던지다"
"453","줍다"
"454","내다"
"455","되풀이되다"
"456","참다"
"457","쏘아보다"
"458","잃어버리다"
"459","뿜다"
"460","개다"
"461","빚지다"
"462","모자라다"
"463","돌보다"
"464","일하다"
"465","묻다"
"466","쓸다"
"467","안되다"
"468","뚫어지다"
"469","일다"
"470","가다듬다"
"471","살다"
"472","줄잡다"
"473","거스르다"
"474","끼다"
"475","드나들다"
"476","늦다"
"477","섞이다"
"478","고르다"
"479","먹이다"
"480","치장하다"
"481","옮다"
"482","알아내다"
"483","탄식하다"
"484","바꾸다"
"485","품다"
"486","바로잡다"
"487","편안하다"
"488","이루다"
"489","부족하다"
"490","높이다"
"491","오르다"
"492","쓰다듬다"
"493","평안하다"
"494","받들다"
"495","토벌하다"
"496","평온하다"
"497","누리다"
"498","키우다"
"499","여기다"
"500","영락하다"
"501","털다"
"502","빌리다"
"503","다하다"
"504","캐다"
"505","꺾다"
"506","마치다"
"507","떠나가다"
"508","뒤따르다"
"509","뒤돌아보다"
"510","덧붙이다"
"511","따라가다"
"512","돌아서다"
"513","말라죽다"
"514","지다"
"515","붙다"
"516","뻗다"
"517","돋다"
"518","올려다보다"
"519","응시하다"
"520","되새기다"
"521","얼어붙다"
"522","끄덕이다"
"523","더듬다"
"524","꺼내다"
"525","찢다"
"526","뛰다"
"527","달려가다"
"528","멈추다"
"529","날다"
"530","으스대다"
"531","보아주다"
"532","넣다"
"533","그만두다"
"534","먹다"
"535","썩이다"
"536","싸이다"
"537","알리다"
"538","조이다"
"539","오래되다"
"540","마르다"
"541","가까워다"
"542","눕다"
"543","엎드리다"
"544","긷다"
"545","떨치다"
"546","벌이다"
"547","노래다"
"548","띄다"
"549","여위다"
"550","찢어지다"
"551","번득이다"
"552","비정하다"
"553","성나다"
"554","짓지다"
"555","천진하다"
"556","흘러내리다"
"557","덮이다"
"558","천거되다"
"559","들이켜다"
"560","벌어지다"
"561","넘어가다"
"562","상하다"
"563","노하다"
"564","때려죽이다"
"565","관련되다"
"566","복직되다"
"567","내치다"
"568","내리치다"
"569","욕하다"
"570","어울리다"
"571","충실하다"
"572","올라오다"
"573","따라오다"
"574","기식하다"
"575","그라다"
"576","몰두하다"
"577","배반하다"
"578","무안하다"
"579","살펴보다"
"580","즉위하다"
"581","섬기다"
"582","그릇되다"
"583","바치다"
"584","탄핵하다"
"585","받아들이다"
"586","원망하다"
"587","계승하다"
"588","빼치다"
"589","성공하다"
"590","기록되다"
"591","부인하다"
"592","드러내다"
"593","놓다"
"594","뱉다"
"595","들려주다"
"596","나약하다"
"597","쳐가다"
"598","그리다"
"599","뜯다"
"600","반기다"
"601","살아나다"
"602","낡다"
"603","부패하다"
"604","반응하다"
"605","벌서다"
"606","떨다"
"607","옹호하다"
"608","나타나다"
"609","기다"
"610","극단하다"
"611","탈주하다"
"612","겸비하다"
"613","도전하다"
"614","선택하다"
"615","타도하다"
"616","앞장서다"
"617","분류하다"
"618","참가하다"
"619","가담하다"
"620","충동되다"
"621","진행되다"
"622","버티다"
"623","반격하다"
"624","입히다"
"625","수용되다"
"626","유일하다"
"627","가로채이다"
"628","뒤엎다"
"629","확보되다"
"630","답습하다"
"631","쓰러뜨리다"
"632","최소하다"
"633","꿈꾸다"
"634","실현하다"
"635","따라붙다"
"636","끌어대다"
"637","앞세우다"
"638","다짐하다"
"639","까다"
"640","절망하다"
"641","말살하다"
"642","이용하다"
"643","사로잡다"
"644","내려지다"
"645","확보하다"
"646","청산하다"
"647","임명되다"
"648","업신여기다"
"649","어기다"
"650","떨어뜨리다"
"651","용서하다"
"652","시행하다"
"653","인하다"
"654","공격하다"
"655","욕되다"
"656","일깨우다"
"657","깔보다"
"658","요구하다"
"659","이름나다"
"660","평하다"
"661","쫓겨나다"
"662","내려가다"
"663","누비다"
"664","싸다"
"665","남기다"
"666","뵈다"
"667","취하다"
"668","통쾌하다"
"669","말씀하다"
"670","달이다"
"671","휩쓸다"
"672","연루되다"
"673","때맞추다"
"674","물러가다"
"675","준수하다"
"676","넘기다"
"677","어그러지다"
"678","분방하다"
"679","떠올리다"
"680","유혹하다"
"681","시집가다"
"682","훔치다"
"683","겁탈하다"
"684","확인하다"
"685","지르다"
"686","헝클어지다"
"687","풀어지다"
"688","뛰어다니다"
"689","외치다"
"690","잔인하다"
"691","치솟다"
"692","풀어헤치다"
"693","쫓기다"
"694","쳐들어오다"
"695","끊다"
"696","타다"
"697","기절하다"
"698","손대다"
"699","몰려오다"
"700","팽개치다"
"701","끌어내리다"
"702","잡히다"
"703","휘어잡다"
"704","박히다"
"705","깨다"
"706","끊어지다"
"707","회상하다"
"708","거대하다"
"709","휘몰리다"
"710","놀리다"
"711","견디다"
"712","휘몰다"
"713","비치다"
"714","연습하다"
"715","내던지다"
"716","쓰러지다"
"717","까뒤집다"
"718","물리다"
"719","버둥거리다"
"720","뛰어들어가다"
"721","고하다"
"722","열중하다"
"723","앓다"
"724","지어내다"
"725","의아하다"
"726","지키다"
"727","미안하다"
"728","다시다"
"729","중얼거리다"
"730","침착하다"
"731","좋아하다"
"732","경박하다"
"733","되돌아보다"
"734","떠나오다"
"735","인정하다"
"736","뒤틀리다"
"737","비뚤어지다"
"738","곤란하다"
"739","빠트리다"
"740","박다"
"741","처지다"
"742","시기하다"
"743","때려다"
"744","불러들이다"
"745","계시다"
"746","베다"
"747","푸다"
"748","살리다"
"749","대신하다"
"750","숨기다"
"751","내뱉다"
"752","받치다"
"753","쓸어버리다"
"754","채다"
"755","감추다"
"756","마시다"
"757","허물다"
"758","감격하다"
"759","싫어하다"
"760","내가다"
"761","격다"
"762","들어오다"
"763","수습되다"
"764","직감하다"
"765","무르익다"
"766","걱정하다"
"767","동정하다"
"768","놀아나다"
"769","무능하다"
"770","매도하다"
"771","억누르다"
"772","동조하다"
"773","물려주다"
"774","내주다"
"775","그치다"
"776","입관하다"
"777","양보하다"
"778","넘어오다"
"779","중시하다"
"780","쌓이다"
"781","택하다"
"782","끌리다"
"783","우러르다"
"784","믿기다"
"785","지적하다"
"786","해석하다"
"787","뒤바꾸다"
"788","계속하다"
"789","들어맞다"
